LOCATION_GROUP,LOCATION_TYPE,LOCATION_CODE,LOCATION,LONGITUDE,LATITUDE
Hizmet Binasi,Bina,METRO-T4 Habipler,ARNAVUTKÖY,28.843808,41.12222
Hizmet Binasi,Bina,059-Arnavutkoy Mezarliklar,ARNAVUTKÖY,28.751046,41.179543
Hizmet Binasi,Bina,001-Atasehir Darulaceze Tip Merkezi,ATAŞEHİR,29.147271,40.977937
Hizmet Binasi,Bina,001-Cobancesme Kurumsal Atik,BAHÇELİEVLER,28.825496,40.997055
Hizmet Binasi,Bina,061-Bahcelievler Yol Bakim,BAHÇELİEVLER,28.825249,40.99704
Hizmet Binasi,Bina,001-Florya Baskanlik Konutu,BAKIRKÖY,28.78744,40.975036
Hizmet Binasi,Bina,METRO-M1B Kirazli,BAĞCILAR,28.842542,41.031971
Hizmet Binasi,Bina,001-Beylikduzu Vektorler Birimi,BEYLİKDÜZÜ,28.642354,41.000244
Hizmet Binasi,Bina,001-IBB Beyoglu Sehir Planlama,BEYOĞLU,28.974385,41.03177
Hizmet Binasi,Bina,063-Esenler Belediye Binasi,ESENLER,28.867578,41.054031
Hizmet Binasi,Bina,001-Esenler Otogar Beyaz Masa,ESENLER,28.894728,41.040605
Hizmet Binasi,Bina,ISADEM-Esenler,ESENLER,28.874942,41.044544
Hizmet Binasi,Bina,METRO-M1 Esenler,ESENLER,28.886224,41.038367
Hizmet Binasi,Bina,001-IBB Eurodesk Temas Noktasi,FATİH,28.975377,41.012464
Hizmet Binasi,Bina,001-IBB Fatih Hayvan Hastanesi,FATİH,28.953686,41.016743
Hizmet Binasi,Bina,001-IBB Sarachane Genel Sekreterlik,FATİH,28.955329,41.013452
Hizmet Binasi,Bina,001-IBB Sarachane Hizmet Binasi,FATİH,28.955328,41.013451
Hizmet Binasi,Bina,001-IBB Kartal Ek Hizmet Binasi,KARTAL,29.188055,40.912915
Hizmet Binasi,Bina,001-Kartal Cevre Koruma,KARTAL,29.186798,40.912949
Hizmet Binasi,Bina,001-Kartal Ilaclama Birimi,KARTAL,29.188325,40.914345
Hizmet Binasi,Bina,ISADEM-Kartal ,KARTAL,29.167631,40.910637
Hizmet Binasi,Bina,ISTTELKOM-Kartal Depo,KARTAL,29.188725,40.908255
Hizmet Binasi,Bina,001-Seyrantepe IBB Depolari,KAĞITHANE,28.994933,41.101021
Hizmet Binasi,Bina,001-Seyrantepe Rayli Sistemler Mudurlugu,KAĞITHANE,28.993083,41.10109
Hizmet Binasi,Bina,ISKI-Genel Mudurluk,KAĞITHANE,28.963528,41.085894
Hizmet Binasi,Bina,059-Kucukcekmece Mezarliklar,KÜÇÜKÇEKMECE,28.770549,40.986965
Hizmet Binasi,Bina,001-Pendik BeyazMasa,PENDİK,29.23489,40.876219
Hizmet Binasi,Bina,001-Pendik Deniz Hizmetleri,PENDİK,29.23887,40.875228
Hizmet Binasi,Bina,ISBAK-Sariyer Tunel Birimi,SARIYER,29.026577,41.158185
Hizmet Binasi,Bina,059-Sultanbeyli Mezarliklar,SULTANBEYLİ,29.258734,40.968617
Hizmet Binasi,Bina,001-Cirpici Destek Hizmetleri,ZEYTİNBURNU,28.888033,41.000837
Hizmet Binasi,Bina,ISADEM-Zeytinburnu,ZEYTİNBURNU,28.90418,40.992576
Hizmet Binasi,Bina,059-Cekmekoy Mezarliklar,ÇEKMEKÖY,29.182762,41.043525
Hizmet Binasi,Bina,METRO-M5 Umraniye Carsi,ÜMRANİYE,29.096637,41.026438
Hizmet Binasi,Bina,METRO-M5 Uskudar,ÜSKÜDAR,29.014,41.025858
Hizmet Binasi,Bina,ISTTELKOM-Genel Mudurluk,ŞİŞLİ,28.994621,41.061808
Hizmet Binasi,Bina,061-Sisli Yol Bakim,ŞİŞLİ,28.966969,41.058538
Hizmet Binasi,Engelliler,003-Umraniye Engelliler Merkezi,ÜMRANİYE,29.124633,41.021038
Hizmet Binasi,Hal,004-Bayrampasa Hal Baskanlik,BAYRAMPAŞA,28.887653,41.051808
Hizmet Binasi,Hal,004-Fatih Kumkapi Balik Hali,FATİH,28.962793,41.002499
Hizmet Binasi,Itfaiye,007-Arnavutkoy Itfaiye,ARNAVUTKÖY,28.72888,41.201328
Hizmet Binasi,Itfaiye,007-Atasehir Kayisdagi Itfaiye,ATAŞEHİR,29.147047,40.979311
Hizmet Binasi,Itfaiye,007-Bahcelievler Kocasinan Itfaiye,BAHÇELİEVLER,28.837072,41.013993
Hizmet Binasi,Itfaiye,007-Florya Itfaiye,BAKIRKÖY,28.808223,40.963388
Hizmet Binasi,Itfaiye,007-Bayrampasa Altintepsi Itfaiye,BAYRAMPAŞA,28.896352,41.039499
Hizmet Binasi,Itfaiye,007-Bagcilar Itfaiye,BAĞCILAR,28.858637,41.050171
Hizmet Binasi,Itfaiye,007-Basaksehir Kayasehir Resneli Itfaiye,BAŞAKŞEHİR,28.741173,41.083278
Hizmet Binasi,Itfaiye,007-Beykoz Itfaiye,BEYKOZ,29.098316,41.134308
Hizmet Binasi,Itfaiye,007-Beykoz Cavusbasi Itfaiye,BEYKOZ,29.139013,41.07442
Hizmet Binasi,Itfaiye,007-Beykoz Kavacik Itfaiye,BEYKOZ,41.093551,41.093551
Hizmet Binasi,Itfaiye,007-Besiktas Itfaiye,BEŞİKTAŞ,29.019256,41.048836
Hizmet Binasi,Itfaiye,007-Buyukcekmece Kumburgaz Itfaiye,BÜYÜKÇEKMECE,28.468128,41.039792
Hizmet Binasi,Itfaiye,007-Buyukcekmece Mimar Sinan Itfaiye,BÜYÜKÇEKMECE,28.544933,41.012864
Hizmet Binasi,Itfaiye,007-Eyupsultan Aksemsettin Itfaiye,EYÜPSULTAN,28.917327,41.091811
Hizmet Binasi,Itfaiye,007-Eyupsultan Itfaiye Amirligi,EYÜPSULTAN,28.9194,41.048042
Hizmet Binasi,Itfaiye,007-Eyupsultan Kemerburgaz Itfaiye,EYÜPSULTAN,28.911409,41.157198
Hizmet Binasi,Itfaiye,007-Hasdal Afad Itfaiye,EYÜPSULTAN,28.947696,41.094413
Hizmet Binasi,Itfaiye,007-Kadikoy Itfaiye,KADIKÖY,29.033316,40.991251
Hizmet Binasi,Itfaiye,007-Kartal Yakacik Itfaiye,KARTAL,29.214861,40.943557
Hizmet Binasi,Itfaiye,007-Kagithane Itfaiye,KAĞITHANE,28.965102,41.086244
Hizmet Binasi,Itfaiye,007-Seyrantepe Itfaiye,KAĞITHANE,28.988797,41.095948
Hizmet Binasi,Itfaiye,007-Kagithane Sadabad Itfaiye,KAĞITHANE,28.955955,41.065614
Hizmet Binasi,Itfaiye,007-Maltepe Buyukbakkalkoy Itfaiye,MALTEPE,29.205994,40.972446
Hizmet Binasi,Itfaiye,007-Pendik Yenisehir Itfaiye,PENDİK,29.305208,40.940642
Hizmet Binasi,Itfaiye,007-Sancaktepe Yenidogan Itfaiye,SANCAKTEPE,29.244518,41.015628
Hizmet Binasi,Itfaiye,007-Sariyer Haciosman Itfaiye,SARIYER,29.026522,41.135922
Hizmet Binasi,Itfaiye,007-Sariyer Istinye Itfaiye,SARIYER,29.054755,41.11489
Hizmet Binasi,Itfaiye,007-Silivri Canta Itfaiye,SİLİVRİ,28.079969,41.085608
Hizmet Binasi,Itfaiye,007-Catalca Itfaiye,ÇATALCA,28.462017,41.149553
Hizmet Binasi,Itfaiye,007-Uskudar Unalan Itfaiye,ÜSKÜDAR,29.072233,41.001856
Hizmet Binasi,Itfaiye,007-Uskudar Zeynep Kamil Itfaiye,ÜSKÜDAR,29.024381,41.013839
Hizmet Binasi,PDM,PDM-Avcilar,AVCILAR,28.739611,40.977103
Hizmet Binasi,PDM,PDM-Bagcilar,BAĞCILAR,28.834522,41.028157
Hizmet Binasi,PDM,PDM-Eyup Sultan Nisanca,EYÜPSULTAN,28.930023,41.040696
Hizmet Binasi,PDM,PDM-Gaziosmanpasa,GAZİOSMANPAŞA,28.897606,41.066778
Hizmet Binasi,PDM,PDM-Umraniye,ÜMRANİYE,29.107246,41.023481
Hizmet Binasi,PDM,PDM-Uskudar,ÜSKÜDAR,29.028444,41.015376
Hizmet Binasi,PDM,PDM-Sisli,ŞİŞLİ,28.998286,41.066891
Hizmet Binasi,PTM,PDM-Beyoglu,BEYOĞLU,28.949742,41.050079
Hizmet Binasi,Zabita,009-Edirnekapi Zabita,EYÜPSULTAN,28.927929,41.027574
Hizmet Binasi,Zabita,009-Kartal Zabita,KARTAL,29.183042,40.912491
Hizmet Binasi,Zabita,009-Zeytinburnu Zabita,ZEYTİNBURNU,28.889221,41.001069
Ismek,Ismek,ISMEK-Arnavutkoy,ARNAVUTKÖY,28.739451,41.182384
Ismek,Ismek,ISMEK-Atasehir,ATAŞEHİR,9.080466,40.995478
Ismek,Ismek,ISMEK-Avcilar Parseller,AVCILAR,28.706322,40.994455
Ismek,Ismek,ISMEK-Bakirkoy Guzellik Merkezi,BAKIRKÖY,28.876283,40.995383
Ismek,Ismek,ISMEK-Bagcilar Baglar,BAĞCILAR,28.82586,41.030899
Ismek,Ismek,ISMEK-Bagcilar Yildiztepe,BAĞCILAR,28.85434,41.029452
Ismek,Ismek,ISMEK-Esenler Fatih Mahallesi,ESENLER,28.841603,41.021787
Ismek,Ismek,ISMEK-Capa,FATİH,28.932387,41.013871
Ismek,Ismek,ISMEK-Findikzade,FATİH,28.93918,41.013647
Ismek,Ismek,ISMEK-Kozyatagi,KADIKÖY,29.0967,40.974644
Ismek,Ismek,ISMEK-Rasimpasa,KADIKÖY,29.026507,40.994132
Kultur Merkezi,KulturMerkezi,012-Enver Oren Kultur Merkezi,BAHÇELİEVLER,28.818754,41.013616
Kultur Merkezi,KulturMerkezi,012-Taksim Sanat Galerisi,BEYOĞLU,28.984351,41.036582
Kultur Merkezi,KulturMerkezi,012-Adem Basturk Kultur Merkezi,ESENLER,28.884195,41.040078
Kultur Merkezi,KulturMerkezi,012-Ali Emiri Kultur Merkezi,FATİH,28.939853,41.019603
Kultur Merkezi,KulturMerkezi,013-Fatih Resat Nuri Sahnesi,FATİH,28.956106,41.015937
Kultur Merkezi,KulturMerkezi,013-Kagithane Sehir Tiyatrolari,KAĞITHANE,28.970873,41.07938
Kultur Merkezi,KulturMerkezi,012-Idris Gulluce Kultur Merkezi,TUZLA,29.30279,40.849875
Kultur Merkezi,KulturMerkezi,013-Muhsin Ertugrul Sahnesi,ŞİŞLİ,28.988714,41.046384
Kutuphane,Kutuphane,014-Baris Manco Halk ve Cocuk Kutuphanesi,ESENLER,28.873136,41.053895
Kutuphane,Kutuphane,014-Esenler Millet Bahcesi Kutuphanesi,ESENLER,28.880071,41.059893
Kutuphane,Kutuphane,014-Erdem Beyazit Kutuphanesi,EYÜPSULTAN,28.925762,41.078847
Kutuphane,Kutuphane,014-Ahmet Kabakli Kutuphanesi,FATİH,28.939788,41.019462
Kutuphane,Kutuphane,014-Ayse Hatun Tekkesi Kutuphanesi,FATİH,28.934745,41.026045
Kutuphane,Kutuphane,014-Kartal Halil Inalcik Kutuphanesi,KARTAL,29.161455,40.905838
Kutuphane,Kutuphane,014-Sefakoy Metin And Kutuphanesi,KÜÇÜKÇEKMECE,28.792729,40.997973
Kutuphane,Kutuphane,014-Sultangazi Ahmed Arif Halk Kutuphanesi,SULTANGAZİ,28.905229,41.09394
Kutuphane,Kutuphane,014-Alemdag Fatma Aliye Kutuphanesi,ÇEKMEKÖY,29.238127,41.053129
Otobus Duragi,Durak,038-Kozyatagi Otobus Duragi,KADIKÖY,29.099479,40.975596
Metrobus Duragi,Metrobus Duragi,069-Avcilar Merkez Universite Metrobus Duragi,AVCILAR,28.725085,40.984185
Metrobus Duragi,Metrobus Duragi,069-Cihangir Universite Metrobus Duragi,AVCILAR,28.713621,40.990787
Metrobus Duragi,Metrobus Duragi,069-Mustafa Kemal Pasa Metrobus Duragi,AVCILAR,28.706011,40.995149
Metrobus Duragi,Metrobus Duragi,069-Saadetdere Mahallesi Metrobus Duragi,AVCILAR,28.694133,40.99984
Metrobus Duragi,Metrobus Duragi,069-Sukrubey Metrobus Duragi,AVCILAR,28.731334,40.980361
Metrobus Duragi,Metrobus Duragi,069-Bahcelievler Metrobus Duragi,BAHÇELİEVLER,28.863467,40.995052
Metrobus Duragi,Metrobus Duragi,069-Yenibosna Metrobus Duragi,BAHÇELİEVLER,28.834646,40.992408
Metrobus Duragi,Metrobus Duragi,069-Incirli Metrobus Duragi,BAKIRKÖY,28.872508,40.997895
Metrobus Duragi,Metrobus Duragi,069-Bayrampasa Maltepe Metrobus Duragi,BAYRAMPAŞA,28.921474,41.023941
Metrobus Duragi,Metrobus Duragi,069-Beykent Hadimkoy Metrobus Duragi,BEYLİKDÜZÜ,28.631704,41.019284
Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Belediye Metrobus Duragi,BEYLİKDÜZÜ,28.649426,41.012535
Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Metrobus Duragi,BEYLİKDÜZÜ,28.656623,41.009845
Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Tuyap Metrobus Duragi,BEYLİKDÜZÜ,28.625046,41.022027
Metrobus Duragi,Metrobus Duragi,069-Cumhuriyet Mahallesi Metrobus Duragi,BEYLİKDÜZÜ,28.640886,41.015778
Metrobus Duragi,Metrobus Duragi,069-Haramidere Metrobus Duragi,BEYLİKDÜZÜ,28.673333,41.006074
Metrobus Duragi,Metrobus Duragi,069-Halicioglu Metrobus Duragi,BEYOĞLU,28.946172,41.048676
Metrobus Duragi,Metrobus Duragi,069-Edirnekapi Metrobus Duragi,EYÜPSULTAN,28.929616,41.033459
Metrobus Duragi,Metrobus Duragi,069-Ayvansaray Metrobus Duragi,FATİH,28.937235,41.038498
Metrobus Duragi,Metrobus Duragi,069-Topkapi Metrobus Duragi,FATİH,28.91748,41.020437
Metrobus Duragi,Metrobus Duragi,069-Merter Metrobus Duragi,GÜNGÖREN,28.897702,41.007885
Metrobus Duragi,Metrobus Duragi,069-Fikirtepe Metrobus Duragi,KADIKÖY,29.047076,40.993701
Metrobus Duragi,Metrobus Duragi,069-Sogutlucesme Metrobus Duragi,KADIKÖY,29.037621,40.991664
Metrobus Duragi,Metrobus Duragi,069-Caglayan Metrobus Duragi,KAĞITHANE,28.980888,41.067502
Metrobus Duragi,Metrobus Duragi,069-Okmeydani Hastane Metrobus Duragi,KAĞITHANE,28.976454,41.067471
Metrobus Duragi,Metrobus Duragi,069-Okmeydani Metrobus Duragi,KAĞITHANE,28.96149,41.05669
Metrobus Duragi,Metrobus Duragi,069-Kucukcekmece Metrobus Duragi,KÜÇÜKÇEKMECE,28.768571,40.98623
Metrobus Duragi,Metrobus Duragi,069-Cevizlibag Metrobus Duragi,ZEYTİNBURNU,28.911086,41.016526
Metrobus Duragi,Metrobus Duragi,069-Zeytinburnu Metrobus Duragi,ZEYTİNBURNU,28.891292,41.00358
Metrobus Duragi,Metrobus Duragi,069-15 Temmuz Sehitler Koprusu Metrobus Duragi,ÜSKÜDAR,29.042553,41.036865
Metrobus Duragi,Metrobus Duragi,069-Acibadem Metrobus Duragi,ÜSKÜDAR,29.056885,41.014909
Metrobus Duragi,Metrobus Duragi,069-Altunizade Metrobus Duragi,ÜSKÜDAR,29.048627,41.021535
Metrobus Duragi,Metrobus Duragi,069-Burhaniye Metrobus Duragi,ÜSKÜDAR,29.046886,41.031935
Metrobus Duragi,Metrobus Duragi,069-Mecidiyekoy Metrobus Duragi,ŞİŞLİ,28.991766,41.066865
Metrobus Duragi,Metrobus Duragi,069-Zincirlikuyu Metrobus Duragi,ŞİŞLİ,29.012712,41.066239
Sehir Hatlari Iskelesi,Iskele,027-Beykoz Anadolu Hisari Iskelesi,BEYKOZ,29.066626,41.083229
Sehir Hatlari Iskelesi,Iskele,027-Karakoy Iskele,BEYOĞLU,28.976729,41.021744
Sehir Hatlari Iskelesi,Iskele,027-Besiktas Kadikoy Iskelesi,BEŞİKTAŞ,29.00548,41.040095
Sehir Hatlari Iskelesi,Iskele,027-Besiktas Uskudar Iskelesi,BEŞİKTAŞ,29.007688,41.04247
Sehir Hatlari Iskelesi,Iskele,027-Eminonu Bogaz Iskelesi,FATİH,28.973894,41.017585
Sehir Hatlari Iskelesi,Iskele,027-Eminonu Kadikoy Iskelesi,FATİH,28.972923,41.018207
Sehir Hatlari Iskelesi,Iskele,027-Eminonu Uskudar Iskelesi,FATİH,28.973976,41.017609
Sehir Hatlari Iskelesi,Iskele,027-Kadikoy Eminonu Iskelesi,KADIKÖY,29.02325,40.992703
Sehir Hatlari Iskelesi,Iskele,027-Uskudar Iskelesi,ÜSKÜDAR,29.014881,41.027275
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Ahmet Hulusi Yıldırım Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Baris Manco Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Besiktas Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Beykoz Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Beyoglu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Durusu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Emin Kul Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Fahri S. Koruturk Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Fatih Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Goksu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Gumussu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Haskoy Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Istanbul 9 Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Kadikoy Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Kucuksu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Moda Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Mustafa Aydogdu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Nurettin Alptogan Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Prof. Dr. Aykut Barka Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Prof. Dr. Fuat Sezgin Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sariyer Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sehit Ilker Karter Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sehit Metin Sulus Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sutluce Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehit Hatlari Sehit Sami Akbulut Vapuru,Sehir Hatlari Vapuru,0,0
Sosyal Tesis,Sosyal,024-Florya Sosyal Tesisleri,BAKIRKÖY,28.807531,40.960245
Sosyal Tesis,Sosyal,024-Kasimpasa Sosyal Tesisleri,BEYOĞLU,28.9668,41.029852
Sosyal Tesis,Sosyal,024-Halic Sosyal Tesisleri,EYÜPSULTAN,28.957179,41.0282
Sosyal Tesis,Sosyal,024-Dragos Sosyal Tesisleri,KARTAL,29.146659,40.901284
Sosyal Tesis,Sosyal,024-Istinye Sosyal Tesisleri,SARIYER,29.054999,41.11476
Sosyal Tesis,Sosyal,024-Sultanbeyli Golet Sosyal Tesisleri,SULTANBEYLİ,29.276736,40.954095
Spor Tesisi,Spor,025-Avcilar Spor Kompleksi,AVCILAR,28.721574,40.99691
Spor Tesisi,Spor,025-Bayrampasa IBB Stadi ve Spor Tesisi,BAYRAMPAŞA,28.886847,41.064818
Spor Tesisi,Spor,025-Bayrampasa Spor Kompleksi,BAYRAMPAŞA,28.910331,41.044596
Spor Tesisi,Spor,025-IBB Beyoglu Stadi,BEYOĞLU,28.949284,41.055284
Spor Tesisi,Spor,025-Buyukcekmece Guzelce Tenis Kortu,BÜYÜKÇEKMECE,28.493941,41.0111
Spor Tesisi,Spor,025-Esenler IBB Stadi,ESENLER,28.879916,41.053893
Spor Tesisi,Spor,025-Esenler Spor Kompleksi,ESENLER,28.878994,41.053019
Spor Tesisi,Spor,025-Esenler Hakki Basar Spor Kompleksi,ESENLER,28.866389,41.04529
Spor Tesisi,Spor,025-Eyupsultan Yesilpinar Yuzme Havuzu,EYÜPSULTAN,28.925808,41.078683
Spor Tesisi,Spor,025-Fatih Spor Kompleksi,FATİH,28.93176,41.02556
Spor Tesisi,Spor,025-Yenikapi Bisiklet Dernegi,FATİH,28.940432,40.998968
Spor Tesisi,Spor,025-Yenikapi Spor Tesisleri,FATİH,28.940738,41.001423
Spor Tesisi,Spor,025-Gaziosmanpasa Barbaros Hayrettin Pasa Spor Kompleksi,GAZİOSMANPAŞA,28.898766,41.076545
Spor Tesisi,Spor,025-Bostanci Spor Tesisleri,KADIKÖY,29.08863,40.954044
Spor Tesisi,Spor,025-Kartal Hasan Dogan Spor Kompleksi,KARTAL,29.189967,40.892454
Spor Tesisi,Spor,025-Cemal Kamaci Spor Tesisleri,KAĞITHANE,28.959739,41.053278
Spor Tesisi,Spor,025-Yesilce Spor Kompleksi,KAĞITHANE,29.002046,41.094578
Spor Tesisi,Spor,025-Maltepe Spor Tesisleri,MALTEPE,29.111306,40.936238
Spor Tesisi,Spor,025-Sancaktepe Taha Akgul Spor Kompleksi,SANCAKTEPE,29.233057,40.978484
Spor Tesisi,Spor,025-Sancaktepe Yenidogan Yuzme Havuzu,SANCAKTEPE,29.245335,41.015681
Spor Tesisi,Spor,025-Sultanbeyli Golet Spor Tesisleri,SULTANBEYLİ,29.274908,40.949935
Spor Tesisi,Spor,025-Silivri Mujdat Gursu Spor Tesisleri,SİLİVRİ,28.259281,41.087402
Spor Tesisi,Spor,025-Tuzla Sahil Spor Tesisleri,TUZLA,29.310212,40.812932
Spor Tesisi,Spor,025-Dudullu Spor Tesisi,ÜMRANİYE,29.162854,41.012238
Spor Tesisi,Spor,025-Haldun Alagas Spor Salonu,ÜMRANİYE,29.104731,41.024958
Spor Tesisi,Spor,025-Umraniye Cakmak Yuzme Havuzu,ÜMRANİYE,29.124733,41.021309
Spor Tesisi,Spor,025-Umraniye Yesilvadi Spor Tesisi,ÜMRANİYE,29.127969,41.02858
Tramvay Istasyonu,Istasyon,METRO T1-BAGCILAR,BAĞCILAR,28.860657,41.03274
Tramvay Istasyonu,Istasyon,METRO T1-FINDIKLI,BEYOĞLU,28.989436,41.031482
Tramvay Istasyonu,Istasyon,METRO T1-KABATAS,BEYOĞLU,28.992646,41.034326
Tramvay Istasyonu,Istasyon,METRO T1-KARAKOY,BEYOĞLU,28.974782,41.022246
Tramvay Istasyonu,Istasyon,METRO T1-TOPHANE,BEYOĞLU,28.980616,41.026892
Tramvay Istasyonu,Istasyon,METRO T1-AKSARAY,FATİH,28.953944,41.009543
Tramvay Istasyonu,Istasyon,METRO T1-CAPA,FATİH,28.933466,41.015149
Tramvay Istasyonu,Istasyon,METRO T1-FINDIKZADE,FATİH,28.940269,41.011806
Tramvay Istasyonu,Istasyon,METRO T1-HASEKI,FATİH,28.943146,41.010955
Tramvay Istasyonu,Istasyon,METRO T1-LALELI,FATİH,28.959765,41.009561
Tramvay Istasyonu,Istasyon,METRO T1-SULTANAHMET,FATİH,28.975497,41.0081
Tramvay Istasyonu,Istasyon,METRO T1-YUSUFPASA,FATİH,28.946583,41.0101
Tramvay Istasyonu,Istasyon,METRO T1-PAZARTEKKE,FATİH,28.92684,41.018475
Tramvay Istasyonu,Istasyon,METRO T1-AKINCILAR,GÜNGÖREN,28.871113,41.017393
Tramvay Istasyonu,Istasyon,METRO T1-GUNGOREN,GÜNGÖREN,28.877219,41.015526
Tramvay Istasyonu,Istasyon,METRO T1-MERTER,GÜNGÖREN,28.88074,41.011789
Tramvay Istasyonu,Istasyon,METRO T1-YAVUZSELIM,GÜNGÖREN,28.863745,41.023715
Tramvay Istasyonu,Istasyon,METRO T1-CEVIZLIBAG,ZEYTİNBURNU,28.9119,41.016042
Tramvay Istasyonu,Istasyon,METRO T1-MITHATPASA,ZEYTİNBURNU,28.902215,41.003535
Turistik Mekan,Turistik,028-Cemberlitas Serefiye Sarnici,FATİH,28.972356,41.007284
